Band name,Band value
20150507_1030_sm_rootzone,0.283
20150507_1330_sm_rootzone,0.282
20150507_1630_sm_rootzone,0.281
20150507_1930_sm_rootzone,0.279
20150507_2230_sm_rootzone,0.279
20150508_0130_sm_rootzone,0.279
20150508_0430_sm_rootzone,0.279
20150508_0730_sm_rootzone,0.279
20150508_1030_sm_rootzone,0.279
20150508_1330_sm_rootzone,0.279
20150508_1630_sm_rootzone,0.279
20150508_1930_sm_rootzone,0.278
20150508_2230_sm_rootzone,0.277
20150509_0130_sm_rootzone,0.278
20150509_0430_sm_rootzone,0.278
20150509_0730_sm_rootzone,0.278
20150509_1030_sm_rootzone,0.278
20150509_1330_sm_rootzone,0.278
20150509_1630_sm_rootzone,0.276
20150509_1930_sm_rootzone,0.275
20150509_2230_sm_rootzone,0.275
20150510_0130_sm_rootzone,0.274
20150510_0430_sm_rootzone,0.274
20150510_0730_sm_rootzone,0.274
20150510_1030_sm_rootzone,0.274
20150510_1330_sm_rootzone,0.274
20150510_1630_sm_rootzone,0.273
20150510_1930_sm_rootzone,0.272
20150510_2230_sm_rootzone,0.272
20150511_0130_sm_rootzone,0.272
20150511_0430_sm_rootzone,0.272
20150511_0730_sm_rootzone,0.272
20150511_1030_sm_rootzone,0.272
20150511_1330_sm_rootzone,0.272
20150511_1630_sm_rootzone,0.271
20150511_1930_sm_rootzone,0.27
20150511_2230_sm_rootzone,0.269
20150512_0130_sm_rootzone,0.269
20150512_0430_sm_rootzone,0.269
20150512_0730_sm_rootzone,0.269
20150512_1030_sm_rootzone,0.27
20150512_1330_sm_rootzone,0.27
20150512_1630_sm_rootzone,0.269
20150512_1930_sm_rootzone,0.267
20150512_2230_sm_rootzone,0.267
20150513_0130_sm_rootzone,0.267
20150513_0430_sm_rootzone,0.267
20150513_0730_sm_rootzone,0.268
20150513_1030_sm_rootzone,0.268
20150513_1330_sm_rootzone,0.268
20150513_1630_sm_rootzone,0.267
20150513_1930_sm_rootzone,0.265
20150513_2230_sm_rootzone,0.265
20150514_0130_sm_rootzone,0.265
20150514_0430_sm_rootzone,0.266
20150514_0730_sm_rootzone,0.266
20150514_1030_sm_rootzone,0.266
20150514_1330_sm_rootzone,0.266
20150514_1630_sm_rootzone,0.266
20150514_1930_sm_rootzone,0.264
20150514_2230_sm_rootzone,0.264
20150515_0130_sm_rootzone,0.264
20150515_0430_sm_rootzone,0.264
20150515_0730_sm_rootzone,0.264
20150515_1030_sm_rootzone,0.264
20150515_1330_sm_rootzone,0.264
20150515_1630_sm_rootzone,0.263
20150515_1930_sm_rootzone,0.262
20150515_2230_sm_rootzone,0.262
20150516_0130_sm_rootzone,0.262
